"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,23.0,0.0,0.011141538619995117,"[[hide]] new secretions from the [[parental]] units ",1.0,0.7647169828414917,"[[leather]] new secretions from the [[familial]] units ","Successful"
0.0,55.0,0.0,0.001412510871887207,"contains no [[wit]] , only [[labored]] [[gags]] ",1.0,0.9916632175445557,"contains no [[mind]] , only [[persevered]] [[laughing]] ","Successful"
1.0,123.0,1.0,0.00035369396209716797,"that [[loves]] its characters and communicates something rather [[beautiful]] about human [[nature]] ",0.0,0.98291015625,"that [[amar]] its characters and communicates something rather [[peachy]] about human [[digits]] ","Successful"
0.0,59.0,0.0,0.05899912118911743,"remains utterly satisfied to [[remain]] the same throughout ",1.0,0.9762033224105835,"remains utterly satisfied to [[sustaining]] the same throughout ","Successful"
0.0,50.0,0.0,0.0018714070320129395,"on the [[worst]] revenge-of-the-nerds clichés the filmmakers could dredge up ",1.0,0.7937537431716919,"on the [[finest]] revenge-of-the-nerds clichés the filmmakers could dredge up ","Successful"
0.0,171.0,0.0,0.0017833113670349121,"that 's [[far]] too [[tragic]] to [[merit]] such [[superficial]] [[treatment]] ",1.0,0.9212942719459534,"that 's [[acutely]] too [[poignant]] to [[fond]] such [[palpable]] [[heals]] ","Successful"
1.0,36.0,1.0,0.0007150769233703613,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , [[personal]] film with an [[emotional]] wallop . ",0.0,0.9163624048233032,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , [[customized]] film with an [[psychiatric]] wallop . ","Successful"
1.0,42.0,1.0,0.0019870996475219727,"of [[saucy]] ",0.0,0.9972574710845947,"of [[impertinent]] ","Successful"
0.0,48.0,0.0,0.004845380783081055,"a [[depressed]] fifteen-year-old 's [[suicidal]] [[poetry]] ",1.0,0.7241309881210327,"a [[pisa]] fifteen-year-old 's [[martyrdom]] [[poetic]] ","Successful"
1.0,25.0,1.0,0.004623532295227051,"are more [[deeply]] thought through than in most ` right-thinking ' films ",0.0,0.9949621558189392,"are more [[bitterly]] thought through than in most ` right-thinking ' films ","Successful"
